No,carat,cut,color,clarity,depth,table,price,x,y,z
98,0.29,Very Good,H,VVS2,62.2,54,466,4.23,4.26,2.64
99,0.25,Very Good,H,VVS2,63.3,54,467,3.98,4.02,2.52
100,0.25,Very Good,H,VVS1,61.6,56,467,4.07,4.1,2.51
101,0.26,Very Good,H,VVS1,62.5,58,468,4.08,4.11,2.56
102,0.26,Very Good,H,VVS2,62.4,58,468,4.04,4.07,2.53
103,0.26,Premium,H,VVS1,59.8,59,468,4.12,4.17,2.48
104,0.34,Premium,H,VVS1,61.2,58,862,4.51,4.48,2.75
105,0.36,Very Good,H,IF,62.3,56,865,4.55,4.58,2.85
106,0.36,Very Good,H,IF,61.6,56,865,4.57,4.62,2.83
107,0.36,Very Good,H,IF,60.8,57,865,4.58,4.6,2.79
108,0.43,Premium,H,VS1,62.3,58,867,4.75,4.81,2.98
109,0.43,Premium,H,VS1,60,59,867,4.86,4.98,2.95
110,0.33,Premium,H,IF,62,58,868,4.39,4.42,2.73
111,0.33,Very Good,H,IF,60.3,59,868,4.47,4.49,2.7
112,0.33,Premium,H,IF,61.8,60,868,4.4,4.44,2.73
113,0.38,Very Good,H,NA,NA,56,871,NA,4.73,NA
114,0.41,Very Good,H,VVS2,62.4,54,873,4.75,4.77,2.97
115,0.41,Very Good,H,VVS2,62,56,873,4.77,4.81,2.97
116,0.41,Very Good,H,SI1,63.3,56,876,4.74,4.71,2.99
117,0.41,Premium,H,SI1,62.6,59,876,4.77,4.72,2.97
118,0.41,Premium,H,SI1,62,59,876,4.8,4.78,2.97
119,0.41,Premium,H,SI1,60,61,876,4.83,4.77,2.88
120,0.41,Premium,H,SI1,60.9,60,876,4.83,4.79,2.93
121,0.41,Premium,H,NA,NA,58,876,4.85,4.81,NA
122,0.41,Premium,H,SI1,61.7,60,876,4.75,4.71,2.92
123,0.41,Premium,H,SI1,62.9,58,876,4.73,4.72,2.97
124,0.41,Premium,H,SI1,61.4,60,876,4.78,4.73,2.92
125,0.4,Premium,H,VVS2,60.9,58,877,4.74,4.79,2.9
126,0.4,Premium,H,VVS2,60.6,60,877,4.75,4.79,2.89
127,0.3,Premium,H,VVS1,61.8,58,878,4.36,4.32,2.68
128,0.3,Premium,H,VVS1,62.3,58,878,4.32,4.29,2.68
129,0.3,Premium,H,VVS1,62.7,59,878,4.32,4.29,2.7
130,0.3,Very Good,H,VVS1,63.3,55,878,4.34,4.29,2.73
131,0.3,Very Good,H,VVS1,63.4,57,878,4.31,4.27,2.72
132,0.3,Very Good,H,VVS1,63.4,55,878,4.3,4.28,2.72
133,0.3,Premium,H,VVS1,62.5,59,878,4.29,4.26,2.67
134,0.3,Premium,H,VVS1,62.2,58,878,4.29,4.26,2.66
135,0.3,Premium,H,VVS1,63,58,878,4.25,4.22,2.67
136,0.3,Very Good,H,VVS1,63.3,60,878,4.25,4.22,2.68
137,0.3,Very Good,H,VVS1,63.3,59,878,4.28,4.22,2.69
138,0.3,Premium,H,VVS1,61.3,61,878,4.29,4.26,2.62
139,0.3,Premium,H,VVS1,62,59,878,4.29,4.26,2.65
140,0.3,Premium,H,VVS1,62.6,60,878,4.26,4.21,2.65
141,0.34,Premium,H,VVS2,62.7,59,880,4.47,4.43,2.79
142,0.34,Premium,H,VVS2,61.4,58,880,4.5,4.46,2.75
143,0.28,Very Good,H,VS2,61.4,57,376,4.21,4.23,2.59
144,0.23,Very Good,H,VVS2,62,55,378,3.93,3.95,2.44
145,0.3,Premium,H,SI2,61.9,60,378,4.27,4.29,2.65
146,0.32,Premium,H,VS2,62.7,58,471,4.33,4.35,2.72
147,0.4,Very Good,H,VVS2,59.7,57,882,4.83,4.85,2.89
148,0.43,Premium,H,SI2,61.8,59,887,4.86,4.85,3
149,0.3,Premium,H,SI2,60.9,59,473,4.35,4.32,2.64
150,0.3,Very Good,H,VS2,60.9,61,473,4.32,4.35,2.64
151,0.3,Premium,H,VS2,62.3,58,473,4.31,4.33,2.69
152,0.3,Very Good,H,VS2,62.7,59,473,4.22,4.26,2.66
153,0.3,Premium,H,VS2,62.5,59,473,4.23,4.28,2.66
154,0.3,Premium,H,VS2,61.8,60,473,4.26,4.31,2.65
155,0.3,Very Good,H,VS2,62.5,58,473,4.26,4.28,2.67
156,0.3,Very Good,H,VS2,61.1,61,473,4.31,4.33,2.64
157,0.3,Very Good,H,VS2,60.9,61,473,4.27,4.3,2.61
158,0.4,Very Good,H,VS2,63.1,62,895,4.75,4.66,2.97
159,0.42,Premium,H,SI1,60.9,58,898,4.85,4.84,2.95
160,0.42,Premium,H,SI1,62.1,59,898,4.81,4.78,2.98
161,0.42,Very Good,H,SI1,63.2,58,898,4.79,4.77,3.02
162,0.42,Very Good,H,SI1,63.1,57,898,4.78,4.76,3.01
163,0.42,Premium,H,SI1,62,59,898,4.79,4.76,2.96
164,0.42,Premium,H,SI1,59.5,57,898,5.11,4.78,2.94
165,0.38,Premium,H,VS2,61.8,58,898,4.66,4.63,2.87
166,0.38,Premium,H,NA,NA,59,898,4.69,4.66,NA
167,0.38,Premium,H,VS2,60.6,58,898,4.7,4.68,2.84
168,0.38,Premium,H,VS2,60.9,60,898,4.67,4.62,2.83
169,0.38,Premium,H,VS2,63,56,898,4.61,4.57,2.89
170,0.41,Very Good,H,VVS2,62.2,58,899,4.71,4.74,2.94
171,0.4,Very Good,H,VVS1,NA,59,NA,4.73,4.76,NA
172,0.35,Premium,H,VVS2,62.7,58,906,4.5,4.46,2.81
173,0.35,Premium,H,VVS2,62.5,58,906,4.51,4.48,2.81
174,0.35,Premium,H,VVS2,61.9,58,906,4.54,4.5,2.8
175,0.31,Premium,H,VVS1,NA,58,NA,4.43,4.4,NA
176,0.31,Premium,H,VVS1,60.6,59,907,4.38,4.36,2.65
177,0.31,Premium,H,VVS1,63,58,907,4.37,4.33,2.74
178,0.31,Premium,H,VVS1,62.1,58,907,4.36,4.33,2.7
179,0.31,Premium,H,VVS1,61.9,58,907,4.34,4.32,2.68
180,0.31,Premium,H,VVS1,61.8,58,907,4.34,4.3,2.67
181,0.31,Very Good,H,VVS1,63.3,58,907,4.32,4.28,2.72
182,0.31,Premium,H,VVS1,62.6,58,907,4.33,4.29,2.7
183,0.31,Very Good,H,VVS1,63.3,56,907,4.32,4.3,2.73
184,0.31,Very Good,H,VVS1,63.1,57,907,4.31,4.25,2.7
185,0.3,Very Good,H,VS2,61.1,61,473,4.29,4.32,2.63
186,0.3,Very Good,H,VS2,62.7,59,473,4.22,4.27,2.66
187,0.3,Very Good,H,VS2,62.9,59,473,4.26,4.3,2.69
188,0.3,Very Good,H,VS2,63,59,473,4.25,4.29,2.69
189,0.3,Premium,H,VS2,62.2,59,473,4.28,4.31,2.67
190,0.3,Very Good,H,VS2,62.6,58,473,4.22,4.28,2.66
191,0.36,Very Good,H,SI2,61.2,55,475,4.59,4.62,2.81
192,0.41,Very Good,H,VS2,60,57,915,4.92,4.88,2.94
193,0.43,Premium,H,SI1,59,58,919,4.96,4.93,2.92
194,0.43,Premium,H,SI1,60.2,57,919,4.93,4.91,2.96
195,0.43,Premium,H,SI1,61.5,58,919,4.86,4.8,2.97
196,0.33,Very Good,H,SI1,63,58,475,4.4,4.42,2.78
197,0.33,Very Good,H,SI1,63,57,475,4.39,4.41,2.77
198,0.42,Very Good,H,VVS2,62.4,57,921,4.78,4.83,3
199,0.42,Very Good,H,VVS2,62.9,56,921,4.75,4.79,3
200,0.42,Very Good,H,VVS2,62.4,55,921,4.78,4.81,2.99
201,0.39,Very Good,H,VS2,63.1,58,921,4.66,4.63,2.93
202,0.33,Fair,H,VVS2,65.1,59,922,4.4,4.32,2.84
203,0.39,Very Good,H,VVS1,61.5,56,926,4.7,4.73,2.9
204,0.36,Premium,H,VVS2,60.6,58,932,4.6,4.58,2.78
205,0.34,Premium,H,SI1,62.1,59,477,4.46,4.5,2.78
206,0.34,Premium,H,SI1,60.2,58,477,4.48,4.52,2.71
207,0.32,Premium,H,VVS1,61.5,59,936,4.41,4.37,2.7
208,0.32,Premium,H,VVS1,61.4,58,936,4.42,4.37,2.7
209,0.32,Premium,H,VVS1,61.4,58,936,4.41,4.38,2.7
210,0.32,Premium,H,VVS1,60.9,58,936,4.43,4.4,2.69
211,0.32,Premium,H,VVS1,62.5,58,936,4.37,4.33,2.72
212,0.32,Premium,H,VVS1,62.9,58,936,4.37,4.34,2.74
213,0.32,Premium,H,VVS1,62.7,57,936,4.41,4.36,2.75
214,0.43,Very Good,H,SI2,NA,56,NA,4.9,4.93,2.97
215,0.4,Premium,H,VS1,62.7,59,938,4.71,4.63,2.93
216,0.44,Very Good,H,SI1,63.5,57,941,4.85,4.82,3.07
217,0.41,Very Good,H,VS2,63.4,58,943,4.77,4.66,2.99
218,0.4,Premium,H,VS2,59.1,61,945,4.84,4.81,2.85
219,0.29,Very Good,H,VVS1,62,55,478,4.24,4.27,2.64
220,0.31,Premium,H,IF,60.8,59,949,4.39,4.36,2.66
221,0.4,Very Good,H,VVS1,62.9,56,954,4.69,4.72,2.96
222,0.56,Very Good,H,SI2,62,63,956,5.26,5.21,3.27
223,0.35,Premium,H,VVS1,60.1,62,956,4.57,4.52,2.73
224,0.37,Premium,H,VVS2,62.2,59,957,4.56,4.54,2.83
225,0.37,Premium,H,VVS2,61.3,58,957,4.63,4.6,2.83
226,0.5,Premium,H,SI2,61,58,958,5.14,5.05,3.11
227,0.41,Premium,H,VVS2,62.2,58,961,4.74,4.71,2.94
228,0.28,Very Good,H,VVS1,58.5,61,480,4.27,4.31,2.51
229,0.51,Premium,H,SI2,60,62,964,5.18,5.15,3.1
230,0.33,Premium,H,VVS1,61.4,59,965,4.44,4.42,2.72
231,0.49,Premium,H,VS2,59.6,62,965,5.17,5.14,3.07
232,0.38,Premium,H,VVS1,61.2,60,967,4.68,4.7,2.87
233,0.38,Very Good,H,VVS1,59.1,58,967,4.71,4.76,2.8
234,0.4,Very Good,H,VVS1,63.9,57,968,4.62,4.68,2.97
235,0.4,Premium,H,SI1,61.9,57,969,4.75,4.71,2.93
236,0.48,Premium,H,SI2,58.5,59,972,5.16,5.13,3.01
237,0.54,Premium,H,SI2,61.8,60,972,5.2,5.16,3.2
238,0.38,Very Good,H,VVS1,60,57,975,4.75,4.79,2.86
239,0.52,Premium,H,SI2,60.9,61,975,5.15,5.1,3.12
240,0.31,Premium,H,IF,NA,58,NA,4.43,4.41,2.67
241,0.32,Very Good,H,SI1,61.8,56,482,4.38,4.41,2.71
242,0.32,Premium,H,IF,61.8,58,979,4.39,4.35,2.7
243,0.38,Premium,H,VS1,61.6,58,983,4.7,4.65,2.88
244,0.5,Very Good,H,SI1,63.1,55,984,5.09,5.02,3.19
245,0.42,Premium,H,VVS2,62.4,55,984,4.81,4.78,2.99
246,0.42,Premium,H,VVS2,62.4,57,984,4.83,4.78,3
247,0.43,Fair,H,SI1,62.7,66,984,4.78,4.72,2.98
248,0.41,Premium,H,SI1,61.8,59,984,4.81,4.77,2.96
249,0.44,Very Good,H,VVS1,61,59,986,4.87,4.9,2.98
250,0.39,Premium,H,VVS1,61.5,56,990,4.73,4.7,2.9
251,0.41,Premium,H,VS1,58.2,59,990,4.92,4.88,2.85
252,0.48,Premium,H,SI1,61.9,58,990,5.04,5.01,3.11
253,0.41,Very Good,H,VVS1,59.5,58,991,4.82,4.86,2.88
254,0.41,Very Good,H,VVS1,61.7,58,991,4.74,4.79,2.94
255,0.42,Premium,H,VS2,62.1,57,992,4.8,4.76,2.97
256,0.43,Very Good,H,VS2,63.4,55,994,4.82,4.86,3.07
257,0.34,Premium,H,VVS1,61.2,60,995,4.5,4.46,2.74
258,0.34,Premium,H,VVS1,61.1,59,995,4.52,4.48,2.75
259,0.34,Very Good,H,VVS1,63.2,58,995,4.45,4.41,2.8
260,0.34,Premium,H,VVS1,61.5,60,995,4.49,4.45,2.75
261,0.41,Premium,H,VVS2,59.8,60,999,4.86,4.79,2.88
262,0.3,Very Good,H,SI2,63.2,55,485,4.29,4.26,2.7
263,0.3,Premium,H,SI2,61.9,60,485,4.29,4.27,2.65
264,0.26,Very Good,H,VVS2,62.5,56,486,4.07,4.09,2.55
265,0.26,Very Good,H,VVS2,NA,56,486,4.13,4.16,2.51
266,0.27,Premium,H,VVS2,60.7,59,486,4.19,4.21,2.55
267,0.27,Very Good,H,VVS2,62.1,57,486,4.1,4.15,2.56
268,0.33,Very Good,H,VS2,58.8,62,486,4.49,4.53,2.65
269,0.4,Very Good,H,VS1,63.4,58,1007,4.74,4.66,2.98
270,0.51,Very Good,H,SI1,61.2,55,1008,5.19,5.21,3.18
271,0.42,NA,H,SI1,NA,58,1008,4.85,4.83,2.93
272,0.39,Premium,H,VS1,61.7,57,1009,4.68,4.65,2.88
273,0.33,Premium,H,IF,61.7,59,1010,4.45,4.43,2.74
274,0.33,Premium,H,IF,62.9,58,1010,4.43,4.38,2.77
275,0.55,Premium,H,SI2,59.8,59,1011,5.33,5.3,3.18
276,0.49,Premium,H,SI2,59.9,59,1011,5.17,5.12,3.08
277,0.3,NA,H,IF,NA,60,1013,4.34,4.3,2.61
278,0.3,Premium,H,IF,62.9,58,1013,4.29,4.26,2.69
279,0.53,Premium,H,SI2,62.5,60,1015,5.16,5.18,3.23
280,0.44,Very Good,H,VVS1,63.1,56,1016,4.83,4.87,3.06
281,0.43,Premium,H,VS2,61.9,55,1016,4.95,4.8,3.02
282,0.4,Premium,H,VVS1,61.8,58,1017,4.69,4.72,2.91
283,0.26,Premium,H,VS1,62.3,59,382,4.06,4.1,2.54
284,0.4,Premium,H,VS1,61.3,59,1021,4.79,4.74,2.92
285,0.5,Premium,H,SI2,62.6,61,1024,5.06,5.03,3.1
286,0.35,Premium,H,VVS1,59.9,59,1024,4.61,4.57,2.75
287,0.35,Premium,H,VVS1,61.2,60,1024,4.54,4.51,2.77
288,0.35,Premium,H,VVS1,60.6,60,1024,4.57,4.51,2.75
289,0.35,Premium,H,VVS1,61.2,60,1024,4.55,4.5,2.77
290,0.35,Premium,H,VVS1,62.1,58,1024,4.52,4.46,2.79
291,0.42,Very Good,H,VVS1,60.9,62,1026,4.8,4.86,2.94
292,0.5,Very Good,H,SI1,61.9,63,1031,5.08,5.04,3.13
293,0.38,Premium,H,VVS1,59.1,58,1033,4.76,4.71,2.8
294,0.38,Premium,H,VVS1,61.2,60,1033,4.7,4.68,2.87
295,0.38,Very Good,H,VVS1,63.3,58,1033,4.62,4.57,2.91
296,0.41,Premium,H,VS1,62.8,59,1033,4.73,4.64,2.94
297,0.4,Premium,H,VS1,62.6,58,1035,4.73,4.66,2.94
298,0.4,Premium,H,VS1,62.6,58,1035,4.71,4.68,2.94
299,0.4,Premium,H,VS1,62.6,58,1035,4.71,4.68,2.94
300,0.4,Premium,H,VS1,62.4,60,1035,4.74,4.69,2.94
301,0.4,Premium,H,VS1,62.7,56,1035,4.73,4.71,2.96
302,0.31,Very Good,H,VS2,62.5,54,489,4.35,4.39,2.73
303,0.31,Very Good,H,VS2,60,60,489,4.4,4.43,2.65
304,0.31,Very Good,H,VS2,63,57,489,4.32,4.34,2.73
305,0.31,Very Good,H,VS2,59.7,61,489,4.39,4.42,2.63
306,0.31,Very Good,H,VS2,63,57,489,4.32,4.34,2.73
307,0.31,NA,H,VS2,NA,63,489,4.33,4.37,2.63
308,0.31,Very Good,H,VS2,62.5,60,489,4.31,4.36,2.71
309,0.44,Premium,H,VS2,61.3,58,1040,4.91,4.88,3
310,0.42,Very Good,H,VVS1,63.9,56,1042,4.73,4.75,3.03
311,0.41,NA,H,VVS1,NA,58,1043,4.79,4.85,2.91
312,0.41,Very Good,H,VVS1,61.4,60,1043,4.73,4.78,2.92
313,0.4,Very Good,H,IF,64,56,1044,4.66,4.69,2.99
314,0.53,Very Good,H,SI2,61.4,57,1046,5.21,5.25,3.21
315,0.31,NA,H,IF,NA,58,1046,4.44,4.38,2.67
316,0.31,Premium,H,IF,61,58,1046,4.38,4.34,2.66
317,0.31,Premium,H,IF,61.7,58,1046,4.36,4.33,2.68
318,0.31,Premium,H,VS2,62.2,58,489,4.31,4.34,2.69
319,0.31,Very Good,H,VS2,62.2,59,489,4.34,4.38,2.71
320,0.31,Premium,H,VS2,61.3,60,489,4.32,4.36,2.66
321,0.31,Premium,H,VS2,62.7,59,489,4.29,4.32,2.7
322,0.31,Very Good,H,VS2,61.9,58,489,4.37,4.39,2.71
323,0.31,Premium,H,VS2,62.4,59,489,4.31,4.34,2.7
324,0.7,Fair,H,I1,66.5,57,1058,5.51,5.4,3.64
325,0.59,Fair,H,SI2,64.5,57,1059,5.37,5.16,3.42
326,0.41,Very Good,H,VS1,63.5,56,1061,4.7,4.69,2.98
327,0.41,Premium,H,VS1,62,56,1061,4.78,4.74,2.95
328,0.41,Premium,H,VS1,62.6,60,1061,4.77,4.75,2.98
329,0.54,Very Good,H,SI1,61.7,54,1065,5.23,5.27,3.24
330,0.58,Premium,H,SI2,59,61,1066,5.45,5.42,3.21
331,0.5,Very Good,H,SI1,62.9,58,1068,5.01,5.04,3.16
332,0.42,Premium,H,VVS1,62,58,1068,4.79,4.82,2.98
333,0.38,Premium,H,VVS2,62,58,1069,4.64,4.62,2.87
334,0.52,Very Good,H,SI1,61.3,60,1071,5.15,5.23,3.18
335,0.5,Very Good,H,VS2,61.8,63,1074,5.05,5.08,3.13
336,0.5,Fair,H,SI1,62.3,60,1078,5.09,5.06,3.16
337,0.32,Premium,H,IF,61.2,58,1080,4.39,4.37,2.68
338,0.26,Premium,H,VS1,62.3,59,491,4.1,4.06,2.54
339,0.35,Very Good,H,SI1,60,61,491,4.57,4.6,2.75
340,0.3,Very Good,H,VS1,62.4,60,491,4.23,4.29,2.66
341,0.37,Very Good,H,SI1,62.6,63,491,4.6,4.5,2.85
342,0.35,Very Good,H,SI1,61,62,491,4.52,4.56,2.77
343,0.42,Premium,H,VS1,61.2,60,1087,4.84,4.77,2.94
344,0.42,Premium,H,VS1,61.6,58,1087,4.82,4.79,2.96
345,0.42,Premium,H,VS1,61.7,59,1087,4.83,4.76,2.96
346,0.4,Premium,H,VVS1,61.8,58,1088,4.72,4.69,2.91
347,0.5,Very Good,H,SI1,63.5,56,1089,5.01,5.04,3.19
348,0.51,Very Good,H,SI1,63,57,1090,5.11,5.14,3.23
349,0.5,Premium,H,SI1,58.7,59,1091,5.15,5.11,3.01
350,0.5,Premium,H,SI1,62.3,59,1094,5.02,4.99,3.12
351,0.5,Fair,H,SI1,64.9,54,1094,5.01,4.98,3.24
352,0.42,Premium,H,VVS1,60.9,62,1096,4.86,4.8,2.94
353,0.39,Premium,H,VVS2,62.1,58,1097,4.65,4.63,2.88
354,0.54,Very Good,H,SI2,62.7,59,1099,5.17,5.2,3.25
355,0.49,Premium,H,VS2,59.5,62,1103,5.14,5.12,3.05
356,0.73,Fair,H,I1,66.2,56,1104,5.62,5.46,3.69
357,0.3,Premium,H,VS1,62.1,59,491,4.25,4.28,2.65
358,0.59,Premium,H,SI1,62.2,59,1106,5.38,5.32,3.33
359,0.52,Very Good,H,SI1,62.6,55,1111,5.12,5.16,3.22
360,0.53,Premium,H,SI2,62.5,60,1113,5.18,5.16,3.23
361,0.43,Premium,H,VS1,62.3,58,1113,4.81,4.75,2.98
362,0.43,Premium,H,VS1,60,59,1113,4.98,4.86,2.95
363,0.33,Premium,H,IF,60.3,59,1114,4.49,4.47,2.7
364,0.33,Premium,H,IF,62,58,1114,4.42,4.39,2.73
365,0.33,Premium,H,IF,61.8,60,1114,4.44,4.4,2.73
366,0.41,Premium,H,VVS1,NA,58,1115,4.85,4.79,2.91
367,0.41,Premium,H,VVS1,61.4,60,1115,4.78,4.73,2.92
368,0.51,Premium,H,SI1,60.6,59,1116,5.17,5.13,3.12
369,0.51,Premium,H,SI1,61.9,56,1116,5.13,5.12,3.17
370,0.32,Premium,H,IF,60.7,58,1116,4.47,4.46,2.71
371,0.44,Premium,H,VVS1,60.1,58,1119,4.92,4.96,2.97
372,0.5,Fair,H,VS2,62.4,69,1122,5.07,4.99,3.14
373,0.51,Premium,H,SI2,62.9,56,1125,5.08,5.06,3.19
374,0.4,Premium,H,VVS2,60.9,58,1125,4.79,4.74,2.9
375,0.4,Premium,H,VVS2,60.6,60,1125,4.79,4.75,2.89
376,0.4,Very Good,H,VVS2,63.2,55,1125,4.73,4.7,2.98
377,0.53,Premium,H,SI1,59.4,60,1132,5.24,5.26,3.12
378,0.5,Very Good,H,SI1,60.9,61,1133,5.06,5.15,3.11
379,0.5,Fair,H,VS1,67.1,58,1134,4.94,4.89,3.3
380,0.5,Fair,H,VS1,66.6,58,1134,4.95,4.84,3.26
381,0.5,Fair,H,VS1,66.3,55,1136,4.86,4.91,3.24
